Distrito;Tipo;Contenedores
ARGANZUELA;VIDRIO;484.5607476635514
ARGANZUELA;PAPEL-CARTON;461.5548961424332
BARAJAS;RESTO;145.02593659942363
BARAJAS;ORGANICA;372.77037037037036
BARAJAS;VIDRIO;297.7751479289941
BARAJAS;ENVASES;267.6808510638298
BARAJAS;PAPEL-CARTON;306.8536585365854
CARABANCHEL;VIDRIO;493.25
CARABANCHEL;ORGANICA;234.62702702702703
CARABANCHEL;PAPEL-CARTON;445.1897435897436
CARABANCHEL;RESTO;132.13394216133943
CARABANCHEL;ENVASES;205.06771653543308
CENTRO;PAPEL-CARTON;769.2065217391304
CENTRO;VIDRIO;795.1348314606741
CENTRO;ORGANICA;9435.6
CENTRO;RESTO;670.7772511848341
CENTRO;ENVASES;818.1156069364162
CHAMARTIN;ENVASES;1267.0689655172414
CHAMARTIN;ORGANICA;2261.230769230769
CHAMARTIN;RESTO;746.0913705583756
CHAMARTIN;VIDRIO;394.0482573726542
CHAMARTIN;PAPEL-CARTON;427.2674418604651
CHAMBERI;VIDRIO;501.85663082437276
CHAMBERI;RESTO;1443.4845360824743
CHAMBERI;PAPEL-CARTON;505.4801444043321
CHAMBERI;ENVASES;9334.533333333333
CHAMBERI;ORGANICA;5385.307692307692
HORTALEZA;ENVASES;372.4184261036468
HORTALEZA;PAPEL-CARTON;344.0248226950355
HORTALEZA;VIDRIO;348.3482944344704
HORTALEZA;ORGANICA;394.369918699187
HORTALEZA;RESTO;275.61079545454544
LATINA;ORGANICA;189.07036747458952
LATINA;ENVASES;158.98816568047337
LATINA;RESTO;97.3906564639549
LATINA;PAPEL-CARTON;446.1642066420664
LATINA;VIDRIO;431.8232142857143
MONCLOA-ARAVACA;ORGANICA;162.55080213903744
MONCLOA-ARAVACA;RESTO;87.0974212034384
MONCLOA-ARAVACA;PAPEL-CARTON;410.77027027027026
MONCLOA-ARAVACA;VIDRIO;328.61621621621623
MONCLOA-ARAVACA;ENVASES;152.17521902377973
MORATALAZ;ENVASES;194.4476386036961
MORATALAZ;VIDRIO;426.55855855855856
MORATALAZ;ORGANICA;291.3723076923077
MORATALAZ;RESTO;134.32056737588653
MORATALAZ;PAPEL-CARTON;488.12371134020617
RETIRO;PAPEL-CARTON;484.3481781376518
RETIRO;VIDRIO;482.39516129032256
SALAMANCA;ORGANICA;6673.636363636364
SALAMANCA;VIDRIO;508.02768166089965
SALAMANCA;RESTO;1768.9156626506024
SALAMANCA;ENVASES;2770.188679245283
SALAMANCA;PAPEL-CARTON;508.02768166089965
SAN BLAS-CANILLEJAS;ENVASES;438.07608695652175
SAN BLAS-CANILLEJAS;RESTO;305.32575757575756
SAN BLAS-CANILLEJAS;PAPEL-CARTON;335.16008316008316
SAN BLAS-CANILLEJAS;ORGANICA;432.20375335120644
SAN BLAS-CANILLEJAS;VIDRIO;344.47008547008545
TETUAN;RESTO;145.80072463768116
TETUAN;ENVASES;249.1702786377709
TETUAN;ORGANICA;336.744769874477
TETUAN;VIDRIO;515.9102564102565
TETUAN;PAPEL-CARTON;507.77287066246055
USERA;RESTO;308.1483870967742
USERA;ORGANICA;492.4020618556701
USERA;PAPEL-CARTON;497.53125
USERA;VIDRIO;584.8530612244898
USERA;ENVASES;422.6814159292035
VICALVARO;VIDRIO;409.23369565217394
VICALVARO;ORGANICA;222.12094395280235
VICALVARO;RESTO;161.23982869379014
VICALVARO;ENVASES;206.2986301369863
VICALVARO;PAPEL-CARTON;392.1822916666667
VILLAVERDE;RESTO;179.25230414746545
VILLAVERDE;ENVASES;265.9675213675214
VILLAVERDE;ORGANICA;287.06826568265683
VILLAVERDE;PAPEL-CARTON;395.9058524173028
VILLAVERDE;VIDRIO;457.6205882352941
