DISTRITO;patinetes
MORATALAZ;0.001291524634244458
LATINA;0.0014980467456796663
CARABANCHEL;0.001768224241585559
CHAMBER�;0.001904461882123833
VILLAVERDE;0.002146833099795601
VILLA DE VALLECAS;0.0022376603439752296
PUENTE DE VALLECAS;0.0022458078253926005
RETIRO;0.0023473391234365044
USERA;0.002442394383888571
CIUDAD LINEAL;0.0025395952233606086
ARGANZUELA;0.0025501168803570163
SALAMANCA;0.0025616743539607165
SAN BLAS-CANILLEJAS;0.0026566360036249428
TETU�N;0.003071699943416054
CHAMART�N;0.0033974853150860627
FUENCARRAL-EL PARDO;0.0035827465849436278
BARAJAS;0.0037784627622551455
CENTRO;0.003846614486096532
VIC�LVARO;0.003992174280879865
HORTALEZA;0.004780424983902125
MONCLOA-ARAVACA;0.008772362942115572
